p,k,size,order
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,1,65536
17,3,2,21846
17,3,2,13108
17,3,2,21846
17,3,2,21846
17,3,2,13108
17,3,2,13108
17,3,2,21846
17,3,2,3856
17,3,2,13108
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,13108
17,3,2,13108
17,3,2,3856
17,3,2,13108
17,3,2,21846
17,3,2,13108
17,3,2,21846
17,3,2,256
17,3,2,21846
17,3,2,13108
17,3,2,21846
17,3,2,256
17,3,2,13108
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,3856
17,3,2,21846
17,3,2,3856
17,3,2,256
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,3856
17,3,2,3856
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,13108
17,3,2,3856
17,3,2,3856
17,3,2,21846
17,3,2,3856
17,3,2,13108
17,3,2,256
17,3,2,21846
17,3,2,256
17,3,2,21846
17,3,2,13108
17,3,2,13108
17,3,2,3856
17,3,2,21846
17,3,2,3856
17,3,2,21846
17,3,2,21846
17,3,2,3856
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,13108
17,3,2,13108
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,21846
17,3,2,13108
17,3,2,256
