p,k,size,order
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,1,16
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,6
5,2,2,4
5,2,2,4
5,2,2,4
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,2,3,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
5,3,1,16
